File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_627,2442.94,1489.32,1039.53,1110.68,1151.43,3600.05,2284.42,1170.3,2200.94,1212.93,1324.61,1163.67,1164.54
load_balancing_628,3481.32,3600.03,3600.03,3600.03,2749.18,3600.03,3600.05,2560.15,3600.02,3537.19,2780.52,2371.38,3600.04
load_balancing_63,2774.41,2610.67,3600.03,3038.88,3196.88,3600.02,3600.04,2975.56,3600.02,3513.05,2935.89,2741.94,3003.04
load_balancing_630,2860.8,2805.88,2894.4,2553.34,2950.81,3600.03,3173.84,3051.11,3600.02,2863.86,2909.42,2722.69,3180.0
load_balancing_631,332.2,659.05,380.56,430.84,320.46,3600.03,340.43,360.44,677.95,451.76,369.52,333.85,348.28
load_balancing_633,3600.04,3600.03,2400.89,2253.55,3600.02,3600.06,3600.02,2916.41,3600.01,3600.03,2485.18,3099.62,2253.71
load_balancing_634,3600.01,955.0,3600.02,1811.99,3600.02,3600.03,3600.02,3600.02,3600.02,3600.03,3600.02,3600.03,3600.02
load_balancing_636,3600.02,3600.02,3600.02,3448.12,3600.03,3600.03,3600.03,3600.04,3600.03,3600.02,3600.02,3600.02,3600.02
load_balancing_637,3600.04,577.21,524.64,474.65,426.36,3600.05,538.26,521.06,824.71,577.57,544.97,472.6,469.93
load_balancing_638,2331.34,1135.01,1028.74,1132.77,1096.71,3600.02,1276.4,1054.07,1508.06,1101.38,1010.74,1110.81,1068.3
load_balancing_639,1130.65,1229.28,852.98,898.89,1030.93,3600.03,1035.86,1027.92,1479.28,1014.53,1021.63,950.38,985.36
load_balancing_64,1937.94,628.44,515.42,507.02,574.24,3600.06,629.68,584.49,613.92,540.14,584.01,554.15,597.88
load_balancing_640,2263.77,3600.02,794.2,940.21,592.91,3600.03,801.42,827.73,3325.87,656.17,611.16,838.82,1364.99
load_balancing_641,3600.01,2485.41,2244.46,2055.48,2417.39,3600.05,2446.69,2452.37,3600.02,2218.12,2258.91,2479.04,2644.41
load_balancing_643,1649.87,928.62,751.83,775.48,985.75,3600.04,1093.85,987.1,1067.88,841.99,726.14,777.73,902.07
load_balancing_644,3600.02,459.64,3600.02,818.47,502.67,3600.05,3600.02,435.88,508.52,603.27,749.1,645.23,437.81
load_balancing_646,2455.82,3117.15,1957.41,1363.16,2246.56,3600.02,2312.25,2016.13,3600.05,2013.62,2090.49,1717.79,1739.77
load_balancing_647,1444.29,1065.84,854.66,963.85,1272.99,3600.05,1722.98,1112.84,3236.17,1075.08,862.54,1088.94,1145.33
load_balancing_648,696.01,2464.09,3600.02,3592.89,3600.02,3600.03,3600.04,707.27,2234.36,1726.45,3600.02,1360.48,3600.03
load_balancing_649,3044.99,1060.05,718.55,754.97,623.9,3600.02,795.75,717.28,1592.81,1018.18,665.92,688.18,838.16
load_balancing_650,1359.52,1024.89,1299.13,1132.97,1616.54,3600.03,1299.96,1508.51,1605.2,1468.81,1191.54,1416.72,1497.33
load_balancing_651,2665.33,721.97,585.54,667.7,653.18,3600.03,688.47,645.67,669.64,696.6,588.97,660.27,667.09
load_balancing_652,802.08,718.5,711.71,727.14,789.41,3600.03,839.53,889.12,1562.46,718.72,742.26,1009.78,919.21
load_balancing_653,1430.61,647.39,510.84,484.67,578.52,3600.06,588.42,564.67,821.76,567.62,526.86,552.22,584.82
load_balancing_654,3600.02,3298.64,3600.02,3489.05,3535.56,3600.02,3600.04,3600.03,3600.02,3600.03,3474.9,3600.03,3600.02
load_balancing_655,3600.02,2727.55,2795.05,2249.15,2558.02,3600.05,2792.49,2530.62,3600.03,2610.96,2225.46,2795.13,2800.24
load_balancing_656,1756.81,1576.99,1776.55,1301.36,2038.25,3600.06,1681.5,1688.28,3600.02,1686.95,1595.61,1720.27,1756.34
load_balancing_658,773.34,734.39,669.34,521.86,695.35,3600.05,747.7,750.24,1727.63,695.51,640.65,719.26,758.25
load_balancing_659,970.06,786.47,879.12,661.82,913.86,3600.05,1012.87,830.15,749.97,733.28,682.56,976.03,820.87
load_balancing_66,3600.01,1670.53,2201.03,1301.26,1901.24,3600.02,1490.12,2598.67,3093.66,1397.3,1305.75,2378.25,2452.92
load_balancing_662,1937.23,931.33,1066.1,944.1,1139.32,3600.03,989.07,869.75,1393.34,1085.63,1003.16,877.39,872.48
load_balancing_663,793.72,219.77,447.43,358.02,416.92,3600.03,388.15,450.64,406.94,429.82,386.48,445.47,458.33
load_balancing_664,1435.44,526.98,1114.71,443.38,1000.11,3600.06,513.87,982.68,2036.33,435.31,515.85,1365.62,1179.06
load_balancing_665,2629.06,1030.24,825.62,866.44,680.12,3600.05,1018.04,765.48,2044.54,1082.59,952.03,731.2,751.49
load_balancing_666,2230.56,728.5,654.84,542.18,718.12,3600.05,644.78,842.41,814.11,540.18,557.92,738.18,991.21
load_balancing_667,2732.04,2400.49,2329.08,1941.5,2383.96,3600.02,3004.59,2186.3,3442.04,2275.97,1780.46,2541.84,2592.91
load_balancing_668,780.57,490.08,470.61,541.17,436.46,3600.04,515.85,777.82,529.14,472.37,498.72,482.97,748.14
load_balancing_669,1838.39,2016.67,1574.97,2597.42,1892.88,3600.03,1599.99,2065.02,2638.4,1987.96,2331.59,1890.5,3072.08
load_balancing_670,2403.67,2115.68,1743.8,1608.73,2267.54,3600.03,2339.05,1881.09,3470.72,2388.38,2009.05,2400.08,2683.99
load_balancing_672,3600.01,3600.03,3486.93,3600.02,3600.02,3600.05,3600.01,3600.03,3600.03,3600.04,3291.62,3600.03,3600.03
load_balancing_673,1413.34,627.04,647.1,604.02,649.27,3600.02,709.01,664.0,1220.43,650.66,573.89,664.37,640.57
load_balancing_674,3600.02,1994.54,3016.55,2787.56,1808.18,3600.02,3262.86,3177.03,3600.02,3019.02,2438.76,3021.88,2764.23
