File Name,default,TreeCutLevel-1,RootCutLevel-1,TreeCutLevel-0
training_12860.proto,3.81,4.91,3.64,3.92
training_12904.proto,8.76,7.15,7.79,8.17
training_1295.proto,14.92,13.52,9.2,9.68
training_12957.proto,1.46,1.05,1.39,1.42
training_12958.proto,5.51,4.62,4.3,5.73
training_12980.proto,7.17,4.95,7.17,5.22
training_12994.proto,60.21,3.81,128.53,37.42
training_13029.proto,15.67,20.8,9.9,9.6
training_13030.proto,2.37,2.42,2.46,2.33
training_13071.proto,21.9,12.75,3.64,12.37
training_13074.proto,3.78,3.56,3.05,3.87
training_13106.proto,1.02,0.96,6.98,1.06
training_13121.proto,12.01,11.49,10.66,9.21
training_13129.proto,0.3,0.3,0.31,0.3
training_13144.proto,54.95,32.18,23.18,109.71
training_13155.proto,4.2,4.97,3.84,4.26
training_13200.proto,4.56,2.92,3.35,4.59
training_1322.proto,1.52,1.43,1.46,1.5
training_1328.proto,8.59,7.32,6.05,10.23
training_13299.proto,1.91,1.59,1.67,1.86
training_133.proto,0.34,0.32,0.35,0.37
training_13317.proto,2.04,1.74,2.24,2.08
training_13334.proto,6.34,3.35,3.27,3.61
training_13342.proto,4.89,6.47,4.47,5.04
training_13350.proto,4.81,7.96,4.13,4.51
training_13355.proto,4.63,4.46,4.08,4.63
training_13373.proto,4.43,4.84,3.7,4.03
training_13439.proto,6.86,5.61,7.37,7.0
training_13447.proto,4.11,6.08,5.04,4.7
training_13521.proto,4.67,5.42,4.54,4.81
training_13530.proto,19.94,12.22,13.15,15.77
training_13532.proto,4.22,1.96,4.58,4.11
training_13552.proto,4.89,4.32,3.52,4.93
training_13561.proto,180.02,6.93,15.32,180.02
training_13590.proto,1.14,1.07,1.03,1.18
training_13621.proto,2.87,3.88,2.69,3.02
training_13668.proto,0.47,0.45,0.47,0.43
training_13693.proto,2.14,1.94,1.93,2.25
training_13707.proto,3.23,3.28,3.01,3.23
training_13710.proto,15.7,9.85,8.39,13.44
training_13718.proto,180.02,14.32,14.02,16.27
training_13730.proto,4.79,4.34,3.43,4.57
training_13734.proto,2.33,2.72,2.22,2.39
training_13736.proto,1.86,1.51,1.42,1.84
training_13739.proto,2.72,14.73,2.18,2.68
training_13760.proto,1.68,1.53,1.57,1.74
training_13761.proto,13.57,13.59,14.5,9.02
training_13764.proto,2.0,3.24,2.29,1.95
training_13781.proto,21.84,3.97,16.66,38.52
training_13790.proto,6.66,8.07,3.77,6.96
training_13806.proto,4.9,2.24,2.51,4.96
training_13818.proto,1.54,2.87,1.22,1.57
training_13833.proto,6.02,5.6,4.01,5.52
training_13841.proto,8.09,9.49,8.09,8.24
training_13873.proto,1.78,3.51,1.52,1.83
training_13876.proto,1.6,1.45,1.6,1.64
training_13922.proto,1.85,3.41,1.88,1.85
training_13924.proto,4.46,2.52,3.12,4.19
training_13937.proto,4.57,3.51,3.46,4.38
training_13954.proto,5.38,5.22,3.73,5.06
training_13985.proto,9.46,4.7,4.55,6.8
training_13994.proto,6.5,7.24,5.47,8.9
training_14024.proto,2.08,1.59,1.48,2.03
training_14027.proto,29.2,20.04,45.81,42.66
training_14039.proto,5.99,5.5,3.59,4.9
training_14111.proto,180.01,180.0,105.61,180.03
training_14113.proto,8.27,9.38,8.14,9.65
training_14142.proto,2.26,5.25,4.09,2.18
training_14159.proto,2.9,2.27,3.81,2.95
training_14164.proto,3.68,3.62,3.91,3.56
training_14169.proto,1.31,1.14,1.25,1.29
training_14193.proto,17.45,24.67,10.01,20.79
training_14218.proto,5.72,5.72,5.19,5.57
training_14258.proto,2.78,2.41,2.48,2.87
training_14261.proto,1.94,1.89,1.88,2.43
training_14266.proto,8.23,12.4,10.25,8.54
training_14294.proto,11.47,6.2,5.92,9.9
training_1430.proto,2.0,3.02,2.19,2.05
training_14327.proto,24.19,3.6,32.11,13.02
training_14340.proto,3.8,2.88,4.99,3.69
training_14346.proto,3.33,5.43,2.9,3.35
training_14347.proto,7.16,10.08,12.64,10.28
training_14378.proto,2.16,2.14,2.31,2.11
training_14392.proto,8.58,14.89,6.24,9.62
training_14396.proto,23.99,19.11,26.54,9.82
training_14411.proto,1.58,1.63,1.33,1.57
training_14425.proto,6.1,6.59,6.85,5.59
training_1444.proto,9.85,9.93,10.61,9.31
training_14446.proto,9.09,6.71,9.25,8.56
training_14472.proto,5.12,3.66,8.46,5.18
training_14490.proto,1.93,1.94,1.86,2.0
training_14511.proto,9.28,8.26,7.76,9.09
training_14519.proto,6.14,8.55,9.63,6.63
training_14528.proto,8.44,9.2,5.66,6.32
training_14536.proto,4.98,2.68,5.12,4.67
training_14568.proto,2.76,11.34,17.07,2.75
training_14596.proto,2.12,1.68,1.74,2.22
training_146.proto,4.7,6.34,6.49,8.59
training_14608.proto,5.69,8.87,6.79,5.64
training_14691.proto,4.34,3.24,3.42,4.37
training_14696.proto,3.59,3.09,2.87,3.47
training_14711.proto,2.89,2.61,2.49,2.94
training_1472.proto,8.28,5.4,3.58,6.32
training_14731.proto,7.49,6.62,7.51,9.18
training_14734.proto,2.98,3.73,2.3,2.98
training_14763.proto,9.03,13.62,9.52,7.49
training_14764.proto,1.78,2.64,1.7,1.84
training_14795.proto,1.93,2.26,1.98,2.03
training_14805.proto,4.09,3.51,2.96,4.16
training_14812.proto,1.13,0.84,1.34,1.17
training_14814.proto,13.1,26.36,11.64,12.23
training_14829.proto,3.64,6.03,4.66,3.16
training_14866.proto,8.34,7.6,6.3,8.28
training_14890.proto,5.95,4.42,5.49,5.97
training_14911.proto,3.34,3.45,3.05,3.34
training_14935.proto,4.05,3.87,3.5,4.13
training_14957.proto,12.1,2.58,3.39,4.06
training_15024.proto,1.72,4.11,1.68,1.68
training_15034.proto,1.95,1.64,1.7,1.85
training_15035.proto,5.89,6.1,7.15,7.2
training_15048.proto,6.16,6.36,7.72,5.48
training_15056.proto,7.16,10.8,9.86,7.7
training_15083.proto,1.87,1.49,1.58,1.84
training_15089.proto,9.62,7.86,10.2,6.87
training_15091.proto,1.96,2.02,1.97,1.96
training_15099.proto,8.66,4.45,6.21,9.36
training_15109.proto,0.38,0.43,0.34,0.42
training_1514.proto,2.33,5.99,2.05,2.21
training_15154.proto,5.48,6.2,9.62,5.44
training_15161.proto,3.47,4.74,3.47,3.47
training_1517.proto,1.63,2.19,1.44,1.59
training_15174.proto,1.95,2.71,1.88,1.88
training_15175.proto,5.36,4.84,8.71,5.26
training_15180.proto,2.8,2.33,3.92,2.73
training_15186.proto,1.58,1.54,1.58,1.55
training_1519.proto,2.99,3.15,2.8,2.99
