File Name,default,TreeCutLevel1,RootCutLevel1,RoundingHeurLevel1,StrongBranching1,SubmipHeurLevel1,DivingHeurLevel1
rc207.40.5,300.01,300.01,300.01,300.01,300.02,300.02,300.02
rc207.50.10,300.04,300.04,300.03,300.01,300.02,300.03,300.02
rc207.50.15,300.05,300.03,300.05,300.03,300.04,300.04,300.05
rc207.50.20,300.03,300.05,300.06,300.04,300.03,300.03,300.05
rc207.50.25,300.02,300.05,300.02,300.04,300.07,300.02,300.02
rc207.75.10,300.03,300.09,300.03,300.07,300.05,300.12,300.02
rc207.75.15,300.19,300.09,300.08,300.2,300.14,300.04,300.18
rc207.75.20,300.19,300.03,300.1,300.14,300.11,300.07,300.13
rc207.75.25,300.14,300.11,300.14,300.14,300.11,300.11,300.17
rc208.100.10,300.16,300.09,300.07,300.09,300.13,300.08,300.12
rc208.100.15,300.19,300.1,300.18,300.21,300.31,300.08,300.22
rc208.100.20,300.14,300.18,300.17,300.16,300.09,300.16,300.2
rc208.100.25,300.2,300.26,300.27,300.13,300.23,300.31,300.25
rc208.25.3,85.85,27.55,121.05,83.91,104.57,8.8,118.25
rc208.25.5,13.58,14.56,89.57,124.18,31.44,14.23,19.54
rc208.30.10,300.01,300.01,300.01,300.02,300.01,223.46,300.01
rc208.30.15,300.01,300.01,300.02,300.02,300.02,300.01,300.01
rc208.30.20,106.57,213.68,300.02,106.44,90.1,215.37,168.45
rc208.30.25,6.13,5.04,4.29,6.03,6.01,5.4,5.83
rc208.30.3,0.49,0.42,0.42,0.43,0.4,0.43,0.43
rc208.30.5,300.01,300.0,300.01,300.0,300.01,300.01,300.0
rc208.40.3,0.38,0.38,0.37,0.38,0.36,0.4,0.35
rc208.40.5,300.02,300.01,300.03,300.02,300.0,300.01,300.03
rc208.50.10,300.06,300.02,300.02,300.03,300.07,300.05,300.04
rc208.50.15,300.04,300.02,300.05,300.01,300.05,300.05,300.05
rc208.50.20,300.07,300.04,300.06,300.06,300.03,300.09,300.09
rc208.50.25,300.04,300.04,300.03,300.04,300.09,300.05,300.02
rc208.75.10,300.01,300.06,300.07,300.02,300.02,300.06,300.02
rc208.75.15,300.15,300.11,300.06,300.15,300.1,300.16,300.11
rc208.75.20,300.11,300.1,300.06,300.15,300.1,300.11,300.09
rc208.75.25,300.22,300.17,300.08,300.16,300.15,300.06,300.13
