File Name,default,SubMipHeurLevel-1,StrongBranching-0,StrongBranching-1
load_balancing_1485,1554.88,774.15,668.03,1492.5
load_balancing_1487,3600.01,3600.02,3600.02,3600.01
load_balancing_1488,208.56,188.15,284.25,206.15
load_balancing_1489,2684.06,2622.24,3409.28,2717.66
load_balancing_1491,836.59,828.91,1409.01,1003.08
load_balancing_1493,1011.61,969.6,1236.99,1183.08
load_balancing_1494,559.06,1229.61,1260.32,819.65
load_balancing_1495,442.27,402.68,397.14,481.81
load_balancing_1496,971.4,1048.61,956.18,1034.05
load_balancing_1497,582.44,680.25,562.04,674.05
load_balancing_1498,433.51,408.68,381.75,415.72
load_balancing_1499,2001.15,1475.43,1821.29,2387.68
load_balancing_1500,542.51,420.86,347.51,981.71
load_balancing_1502,422.4,431.78,357.47,363.93
load_balancing_1503,564.03,591.02,530.7,533.01
load_balancing_1504,265.37,240.83,357.05,251.78
load_balancing_1507,1224.04,1140.26,1258.3,1085.16
load_balancing_1508,3600.02,1541.69,3600.02,922.57
load_balancing_1509,3308.85,3600.03,3600.03,3083.95
load_balancing_151,1244.47,1243.9,1188.14,1310.25
load_balancing_1510,2863.91,2934.49,3530.51,2858.76
load_balancing_1511,1685.94,1778.83,1650.27,1578.12
load_balancing_1512,530.77,464.95,478.32,471.84
load_balancing_1515,1805.72,2625.42,1619.07,1826.76
load_balancing_1517,1565.52,3600.02,2424.02,1466.86
load_balancing_1518,3600.04,3294.29,3600.04,3410.61
load_balancing_1519,1266.66,1427.31,1354.12,1529.08
load_balancing_152,425.58,934.92,470.4,347.36
load_balancing_1520,1502.64,1617.91,1381.86,1620.55
load_balancing_1521,2207.22,2521.21,2040.89,2307.47
load_balancing_1522,174.26,240.32,224.2,179.15
load_balancing_1523,3588.6,3600.02,3455.18,3321.99
load_balancing_1524,3122.59,3600.05,3566.57,3297.11
load_balancing_1525,495.77,494.71,493.97,478.81
load_balancing_1527,1343.33,2851.95,1701.0,3252.23
load_balancing_1528,3600.04,3600.05,3600.03,3600.03
load_balancing_153,854.12,817.43,782.94,802.81
load_balancing_1530,2611.55,2557.89,2684.35,3011.95
load_balancing_1531,1542.74,1549.4,1189.11,1421.92
load_balancing_1532,1077.2,1250.53,1070.66,1150.75
load_balancing_1535,527.29,660.99,470.81,522.22
load_balancing_1538,3600.02,401.83,3600.02,3600.02
load_balancing_1539,1428.27,1519.1,1417.95,1491.5
load_balancing_154,830.49,809.33,594.94,748.37
load_balancing_1540,3066.7,2850.11,3353.27,2431.72
load_balancing_1541,669.99,852.66,598.3,741.26
load_balancing_1542,899.18,705.85,699.28,816.81
load_balancing_1543,2926.24,3600.02,3600.03,3314.65
load_balancing_1544,531.65,582.24,484.69,608.98
load_balancing_1545,1768.75,2472.12,2225.46,1907.4
load_balancing_1546,2905.46,2839.96,2485.46,1966.84
load_balancing_1547,937.39,898.34,2053.35,842.17
load_balancing_1549,2378.87,2137.82,1965.74,2047.31
load_balancing_155,217.1,210.44,254.98,246.32
load_balancing_1550,647.99,575.76,481.61,552.28
load_balancing_1551,2893.88,2951.44,2470.99,2652.9
load_balancing_1552,1136.79,1126.08,1090.47,1074.55
load_balancing_1553,1400.03,1113.71,1000.66,1254.54
load_balancing_1554,2551.4,3107.0,2144.12,2683.26
load_balancing_1555,3600.03,3600.02,3567.71,3442.38
load_balancing_1556,1331.87,1081.67,1062.65,1297.71
load_balancing_1557,317.49,455.96,587.54,428.94
load_balancing_1558,556.46,474.7,433.86,535.23
load_balancing_1559,540.28,613.21,692.16,525.08
load_balancing_156,671.17,609.31,649.24,648.34
load_balancing_1561,302.85,316.71,290.6,300.14
load_balancing_1562,1333.62,1827.46,1671.3,1499.06
load_balancing_1564,323.0,268.41,469.91,440.15
load_balancing_1565,3373.34,2490.1,2739.29,2810.04
load_balancing_1566,1225.47,1293.48,1105.0,1016.68
load_balancing_1567,881.29,817.92,839.19,857.66
load_balancing_1568,340.5,235.85,318.28,296.07
load_balancing_1569,3040.04,2822.55,2554.22,2477.69
load_balancing_157,3307.23,3600.02,3600.02,3600.03
load_balancing_1570,1002.89,879.03,733.04,837.25
load_balancing_1571,624.87,608.29,535.0,637.69
load_balancing_1572,2563.44,2438.12,2425.38,2957.73
load_balancing_1573,2437.53,2411.87,1748.32,2211.36
load_balancing_1574,3600.02,3600.03,3600.02,3600.02
load_balancing_1575,1856.39,226.51,1207.89,1030.79
load_balancing_1576,625.08,660.82,528.49,523.32
load_balancing_1577,1444.61,1401.63,1149.2,1503.55
load_balancing_1579,405.08,315.34,443.83,457.18
load_balancing_158,489.15,443.74,414.53,445.47
load_balancing_1580,600.46,713.83,609.63,623.77
load_balancing_1581,831.5,673.04,749.64,805.52
load_balancing_1583,1317.39,1101.38,1423.87,1129.42
load_balancing_1584,396.05,402.42,331.02,447.37
load_balancing_1585,1169.33,1161.04,856.19,1096.89
load_balancing_1586,701.22,686.39,663.99,675.55
load_balancing_1587,220.39,200.32,228.9,216.27
load_balancing_1589,859.82,859.95,865.89,1032.39
load_balancing_159,2945.37,3598.07,3001.42,3063.07
load_balancing_1590,760.02,783.52,592.18,829.1
