File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
train_1200_4_instance_1772,29.46,23.55,29.38,29.22
train_1200_4_instance_1813,2.74,2.42,2.18,2.55
train_1200_4_instance_1884,7.66,5.23,4.31,7.29
train_1200_4_instance_1977,43.66,37.6,45.33,43.76
train_1200_4_instance_1988,34.48,33.15,33.16,34.18
train_1200_4_instance_2097,1.37,2.49,1.84,1.4
train_1200_4_instance_2137,2.97,3.06,2.35,3.24
train_1200_4_instance_218,14.7,13.54,18.85,13.83
train_1200_4_instance_2202,4.43,3.1,2.87,3.62
train_1200_4_instance_2249,2.52,2.78,1.76,2.44
train_1200_4_instance_2287,20.57,22.04,22.94,20.69
train_1200_4_instance_2311,6.11,6.85,9.91,6.32
train_1200_4_instance_2329,26.93,28.64,23.75,26.11
train_1200_4_instance_2330,64.32,52.23,50.59,63.28
train_1200_4_instance_2346,34.3,30.44,25.0,25.35
train_1200_4_instance_2432,17.04,19.48,18.76,17.07
train_1200_4_instance_2475,21.29,23.24,27.24,21.38
train_1200_4_instance_2482,8.68,8.12,7.61,8.47
train_1200_4_instance_2486,38.11,33.89,32.41,37.52
train_1200_4_instance_2503,10.19,13.44,13.14,11.49
train_1200_4_instance_2562,2.7,2.61,2.4,2.87
train_1200_4_instance_2578,38.38,37.63,34.84,36.57
train_1200_4_instance_2582,25.46,25.0,27.77,22.08
train_1200_4_instance_2583,6.73,9.39,8.3,7.27
train_1200_4_instance_2595,25.3,25.97,24.99,23.43
train_1200_4_instance_2624,1.65,1.88,1.13,1.68
train_1200_4_instance_2631,1.54,2.12,2.39,1.56
train_1200_4_instance_2681,32.76,32.19,29.29,32.32
train_1200_4_instance_2704,8.7,13.06,12.23,8.79
train_1200_4_instance_2749,22.5,22.59,24.91,22.4
train_1200_4_instance_2760,14.56,15.8,14.2,14.71
train_1200_4_instance_2921,32.9,26.03,28.32,30.85
train_1200_4_instance_293,14.59,16.89,12.45,13.35
train_1200_4_instance_2951,31.27,30.56,28.97,30.37
train_1200_4_instance_3011,44.45,62.3,94.48,41.59
train_1200_4_instance_3023,11.67,11.14,12.48,11.77
train_1200_4_instance_3062,9.03,13.72,14.15,9.12
train_1200_4_instance_3180,57.96,46.52,50.55,58.46
train_1200_4_instance_3191,7.3,6.16,7.08,7.79
train_1200_4_instance_3208,64.65,63.66,70.3,66.06
train_1200_4_instance_3234,22.28,26.7,23.64,22.1
train_1200_4_instance_3239,33.8,30.79,31.0,32.48
train_1200_4_instance_3295,1.8,1.83,2.5,1.81
train_1200_4_instance_3299,6.48,5.05,3.85,6.33
train_1200_4_instance_3326,1.76,1.38,1.19,1.82
train_1200_4_instance_3357,2.61,3.95,3.23,2.68
train_1200_4_instance_3387,4.66,3.58,2.92,4.75
train_1200_4_instance_3413,3.54,3.48,2.65,3.94
train_1200_4_instance_3421,6.25,8.19,5.55,6.36
train_1200_4_instance_3440,4.45,7.21,4.11,4.56
train_1200_4_instance_3446,10.64,10.31,10.74,10.21
train_1200_4_instance_3463,16.72,15.47,19.43,16.61
train_1200_4_instance_3470,4.44,5.36,5.7,5.06
train_1200_4_instance_3529,14.01,16.9,12.25,14.29
train_1200_4_instance_3532,8.21,7.64,4.86,8.01
train_1200_4_instance_3546,7.91,6.59,6.94,7.91
train_1200_4_instance_374,10.97,8.0,10.64,11.52
train_1200_4_instance_3798,35.01,31.22,31.29,29.31
train_1200_4_instance_3845,7.41,6.63,6.62,7.62
train_1200_4_instance_3847,25.2,26.76,29.6,23.41
train_1200_4_instance_3920,19.55,20.25,17.09,19.36
train_1200_4_instance_409,17.14,18.25,13.84,15.67
train_1200_4_instance_429,7.45,6.04,5.01,8.21
train_1200_4_instance_454,11.97,11.78,10.4,12.13
train_1200_4_instance_484,37.86,39.24,39.16,36.78
train_1200_4_instance_553,21.85,20.81,23.07,23.3
train_1200_4_instance_662,9.36,11.78,10.05,9.84
train_1200_4_instance_702,3.36,3.98,3.05,3.4
train_1200_4_instance_712,27.2,27.97,25.66,27.64
train_1200_4_instance_737,32.58,32.69,30.64,33.44
train_1200_4_instance_751,3.27,2.74,2.57,4.03
train_1200_4_instance_892,31.5,36.97,33.26,31.39
train_1200_4_instance_899,27.93,28.39,23.75,28.53
train_1200_4_instance_9,3.67,4.17,2.71,4.21
train_1200_4_instance_966,20.49,19.85,23.89,20.29
train_150_16_instance_1035,1.14,1.28,1.16,1.14
train_150_16_instance_1041,0.83,0.75,0.89,1.08
train_150_16_instance_1042,1.85,1.42,1.93,1.83
train_150_16_instance_1070,2.0,1.53,1.39,1.91
train_150_16_instance_1097,2.93,2.51,2.39,2.84
